pixel	charge_cc_ff	charge_averagewf_ff
950	0.9926096	0.98038507
951	0.9968911	0.96353596
952	1.0490338	1.0305079
953	1.106796	1.0518763
954	1.0075572	1.0064808
955	1.0461355	1.0158153
956	1.0194187	1.0045853
957	1.0220684	0.979089
958	1.0806726	1.0302353
959	1.0728557	1.0462722
960	1.0400554	1.1378244
961	1.0627649	1.1534833
962	1.0373987	1.0521303
963	1.027565	1.0833043
964	1.0791671	1.1240338
965	1.018463	1.0770624
966	0.97916937	1.0313581
967	1.0381882	1.0873718
968	1.0194459	1.0803056
969	1.0898904	1.1791029
970	1.0551808	1.0808761
971	0.99620324	1.0581783
972	2.5925066	2.4346852
973	1.0074428	1.0500692
974	1.04517	1.0953029
975	0.99788624	1.025518
976	0.9655368	0.9992185
977	0.95867175	0.95867485
978	0.9782132	1.0353768
979	0.9894042	1.0259802
980	1.0508447	1.0828798
981	1.0284753	1.0316575
982	1.0835348	1.1296742
983	1.038646	1.0654954
984	0.96909124	0.9877739
985	0.9950449	1.0355601
986	1.0220433	1.082528
987	0.9955308	1.0253574
988	0.95674706	0.9857876
989	1.046762	1.0922985
990	0.959447	0.97444296
991	1.0343425	1.1087496
992	1.0180635	1.0871611
993	1.0708139	1.1801938
994	1.021957	1.0848304
995	1.0064473	1.0122017
996	1.0016762	1.0508615
997	1.0735246	1.1260593
998	1.0977888	1.1771643
999	0.98914254	1.0323852
1000	0.93796045	0.94634455
1001	1.0435084	1.0944912
1002	0.9472283	0.9709804
1003	0.9963907	1.0479809
1004	0.99499214	1.06507
1005	1.0482358	1.1114433
1006	1.0270511	1.082315
1007	0.9849685	1.014326
